n_cells,n_genes,median,q25,q75
1000,500,13.720168178901076,13.510172407142818,17.17103371862322
4000,500,26.51468107011169,25.770607132464647,30.925730212125927
8000,500,53.3933951323852,49.84638783056289,53.409937364049256
16000,500,148.92740479391068,130.44483248097822,167.76311501301825
1000,1000,13.354029438458385,13.337212700862437,13.450833352282643
4000,1000,31.14573574718088,28.628671900834888,31.74497769307345
8000,1000,64.84603344555944,58.377391593996435,66.54413944203407
16000,1000,111.02844119723886,110.21804664004594,112.726066600997
1000,2000,13.6464158045128,13.428315988741815,13.766018404625356
4000,2000,33.3535363804549,29.231270503718406,34.57259525312111
8000,2000,55.58182422909886,53.39808526402339,58.8543820339255
16000,2000,154.152610857971,151.17982292501256,169.46979487501085
1000,4000,13.596608811058104,13.34492384456098,13.728749210946262
4000,4000,32.57562385965139,32.469488366972655,33.40382891101763
8000,4000,52.185388091020286,38.36775451945141,65.07638831390068
16000,4000,109.38867368083449,85.90089675085619,152.14291033567864
