gene,Day0,Day10,Day2,Day4
A2m,0.7603652771203486,1.8092017616843132,,1.3598341009101733
A4galt,0.6002494500631269,1.139891971062255,1.697355739185996,2.1870093047786114
AI413582,0.6973695087871629,0.4285969578108815,1.5471699969076043,1.4574877229674006
AI429214,,0.8985671280904672,,1.0096704445936375
AI480526,0.7060098547808908,0.8417532186970852,0.9994496951685813,1.4652742343046459
AI504432,1.0515439904314385,1.3887438977021291,,1.3050482788288398
AI506816,0.15890454967233003,0.6048131896043515,0.2930664468332216,1.4137978812494787
AI597479,0.6220802954876071,0.5375324670912343,1.1193516190991275,0.8867238007498233
AI661453,0.9005462407704853,1.7410272184722237,1.8048724487688168,2.5836135577289907
AI662270,1.590202214222816,0.3970461908788076,1.568412211372576,1.8312595944375194
AI837181,0.23097677664288782,0.5838060137736154,0.7749297446569392,0.7664544101929647
AI854703,1.003855692848899,1.6966951542847764,,0.914655168690453
AI987944,0.5865583270809659,1.2870255743789245,1.1655052189829238,1.3000326502957276
AU015836,1.1502181019932791,1.605648439993378,1.6173921084580594,2.6530040997151723
AU020206,0.17876564582054663,1.552691658812356,1.140906141171528,1.5772971867675025
AU022252,0.3090850121261318,0.5046361282500673,1.3562754279736082,0.8458995682089226
AU022751,0.9565979598979787,0.6091219485576135,1.1035172154087658,1.2270908425435603
AU040320,1.2607176232933284,1.2303440321398242,1.5432898756844826,0.9110662013761238
AU041133,1.1523396663367351,0.5137552840716229,0.7545992286447611,0.7537548912327828
AV039307,,0.4627784509161348,,1.1673105961725558
AV099323,0.6466955444802343,1.3758332050047524,1.0241617526967728,1.6217919088048813
AV356131,1.497648808609993,0.5201875339469701,0.7517999636479495,1.4363398488000185
AW011738,,1.2848393513405238,,1.6627523272505351
AW047730,,1.9475030803450413,,1.7547846284624433
AW112010,,1.8659608872077273,,2.2193206281839317
AW146154,0.5702205818399462,1.4375906048693095,1.15338341295312,1.485870699584882
AW209491,0.39911828487403567,0.4035150166321029,0.7439313462551347,0.6731272158743261
AW549877,0.682721186427699,0.5513689594552051,0.7658986143018158,0.6603548133293687
AW554918,0.647245412715426,0.6640886326515348,0.9962171928971214,0.2871038045667396
Aaas,0.39943741905800867,0.39524246691436493,0.9589008164861628,0.7799727604383693
Aacs,0.8845766325649036,0.49971890542117336,1.3851728075938419,1.4580580604203284
Aagab,0.19348042330218013,0.3525449906390319,1.055045700639807,0.8559640476896873
Aak1,0.7239490947789459,0.33988754569940094,0.7982289496298702,0.6758770706219063
Aamdc,0.3630276514804343,0.5930597634798203,1.2238187882501093,0.6942687278485236
Aamp,0.2643708860187495,1.050073850081326,1.4797996688119741,1.3267521933456767
Aar2,0.13174159929619852,0.5967980764719447,0.9884339286784154,0.9123396880922994
Aard,1.5514173568872514,1.2293708796337213,1.6914866518339915,1.5277384124477076
Aars,0.09398001001154065,0.42729910216826555,1.0446535109066715,1.2452193724781184
Aars2,0.5556916855918186,0.46374841110979403,0.8869311956677517,0.7268604343392747
Aarsd1,0.21155666658409736,0.614625841867862,0.18134847289063255,0.8096143979484132
Aasdh,0.3171385290730577,0.6152474574246344,0.17689733112930028,1.3145491195982248
Aasdhppt,0.15858250691253556,0.584489972311177,0.7323716571783729,0.9977397817506273
Aass,0.4304228076367884,0.774570042106427,1.2692468913192605,1.5199229285117095
Aatf,0.1946155878776416,0.5017616416125485,0.9481704514731165,1.4383380384913953
Aatk,,1.735551671202548,,1.7298024366056248
Abat,0.7217431923393155,0.8703646825564799,0.4290137444418084,1.6031790116858464
Abca1,1.6625478989725906,1.0016797307099987,1.7155607900440173,1.5206435170695598
Abca2,0.46430823625037776,1.5092029240010663,1.521176241585942,0.6886579640280066
Abca3,0.734062759156986,0.5553489381914352,1.090816268440685,1.2216851265815982
Abca4,0.48765985820608976,0.6353314116394266,,1.7490122488682185
Abca5,0.6290773076852489,0.5458202967426309,1.6077300939986718,1.2002505617767243
Abca7,0.3603950091371356,1.0919911850056754,1.692422418855455,1.586266865952253
Abcb10,0.7015087664313532,0.7802364860852276,0.6974572556566255,0.7264911836387584
Abcb1a,0.6655537490413945,1.7312904456570346,1.5853383421689555,1.9923789536351124
Abcb1b,0.6698828551869899,1.3838325825290183,1.5257817742741655,1.7518256284141491
Abcb4,,1.3890660207117846,,1.003856904249353
Abcb6,1.1178272870620696,0.5142964234516902,1.0023867770796764,0.5372693986898731
Abcb7,0.8067138758758047,0.8024127716330699,0.7770840530365211,0.8453260391110673
Abcb8,0.13981126121927662,0.5361854557403334,1.035779234890482,0.6377484786489164
Abcb9,,0.6141725972609177,1.5900160797588885,1.4924028955486242
Abcc1,0.4333416300478069,0.9601593706582637,0.973397208460453,1.4648264899105183
Abcc10,1.0969487487739462,0.5477744097534976,0.7710999955008992,0.9512170428359588
Abcc4,1.2170200221637115,0.7342131656182502,1.334466185619984,1.6772246842661789
Abcc5,0.3282417846766575,0.6128661177439109,0.8701820890927834,0.634432543597689
Abcd1,0.7302284187727197,1.2285907147005357,1.3766097851574144,0.9055339876939617
Abcd2,,1.9025758146078733,,1.413754306722805
Abcd3,0.5763117053022,1.2801754662699245,1.5372992071024456,0.806228766899483
Abcd4,0.9936942270035095,0.6919458958921012,0.5083220143898273,0.6173849897474468
Abce1,0.2840198681818812,0.6099166942363147,1.5039018996942812,1.1675024324656844
Abcf1,0.2970917062562021,1.2782828381471252,1.4795130985592817,1.3744407463950943
Abcf2,0.07164518060814733,0.5869821844747501,1.5042086384865196,0.7047484957087912
Abcf3,0.6498176416709964,0.5768709833388497,1.0534847298322894,0.8090173393297857
Abcg1,1.5286793507444507,0.8379979456382787,0.8334724561395105,1.6136884391496715
Abcg2,0.3294578061809709,0.24234533159800345,1.0071426800001175,0.7068548346095599
Abcg4,,1.3488236156497548,,1.5315667878466022
Abhd10,0.665756413405465,0.5477642257491167,0.6171958191021142,1.1739979920630357
Abhd11,0.26531763076059617,0.3588512406946849,1.3815063195157682,0.8058010849187451
Abhd12,0.4428502506072741,0.6411576103996068,0.4602850532159226,0.9357188223180442
Abhd13,0.37620385397247846,0.8384992451722802,0.866487000370664,0.46925668113252084
Abhd14a,0.35123329222677313,0.4485539029413851,1.495851259717862,0.7090515741050589
Abhd14b,0.7487831035211059,0.6155970601516334,0.435839965721614,1.4662502019681387
Abhd16a,1.2143231609893688,1.2664007837539715,0.6937147404946695,0.4357153159647904
Abhd17a,0.25341096669082147,0.6032834190141233,1.4776521219383212,1.3124626717574133
Abhd17b,0.2916183126583999,0.6158574297694879,1.4685715898898104,1.002587289221664
Abhd17c,0.049988415980095395,0.6149221162400397,0.9969004402532158,0.6750804643427963
Abhd18,0.49398430557609757,0.6152860483653578,0.5881244531470001,1.544910023566976
Abhd2,0.9777837478277719,1.1708313111894895,1.5572513875907799,0.7851333627756342
Abhd3,1.3693803825172512,1.395417058727631,1.7094808462948488,0.8098081453801025
Abhd4,0.7371203907330677,1.478984958181948,1.2116742445088362,0.8494714360370902
Abhd5,1.597741933720381,0.2962250833753762,1.585925220775554,1.68626039395284
Abhd6,1.6495060321658837,0.7066848342244714,1.6162704954999076,1.5801022572363148
Abhd8,0.528756403019333,0.9679662102547075,1.2041754505401459,1.5140623156998627
Abi1,0.3351027103555522,0.8278681350057863,0.9666436952015808,0.5720023479374445
Abi2,0.5200072075992298,0.8586426426396822,1.0311814200063574,1.3803981106194319
Abitram,0.28222390505861567,0.5279031758145953,1.2318096430458996,0.728149338539465
Abl1,0.7999057043216435,1.1758892821620095,0.9605189138154111,0.7903583959433782
Abl2,1.0456954417759996,0.3309485962713608,1.0006558364433393,0.5824329627780347
Ablim1,1.6165311432281815,1.2758280578761183,1.7228902639872907,1.6106280655539316
Abr,0.6870773983969376,0.5207016659681664,0.7153090942602083,0.44113495753912035
Abracl,0.13715664368793543,0.29275406405840726,1.5262765915627516,1.4472653460945852
Abraxas1,0.3256759093217443,0.6085169488682247,0.9412560753694398,0.5871116699004324
Abraxas2,0.3327381743771299,0.4309814110236914,0.5006618719740701,0.9404933235609207
Abt1,0.136615059650871,0.5198721988670815,0.7315043462938442,0.9254455619066844
Abtb1,0.5308180937047657,0.8851157431384692,1.4619024317115925,1.5712477540500893
Abtb2,0.39742008024690567,1.3290031108421383,1.3685420165420479,1.5480231699747333
Acaa1a,0.894597522468791,1.153246410351157,1.4651826131376842,1.0725491418116964
Acaa1b,1.4420470547493134,0.9110128947183109,1.7267299039429933,1.7914509162800674
Acaa2,0.16284231421369422,1.1557960936669367,1.5237996911851677,1.342463521275726
Acaca,0.4814177147437295,0.6095975293337133,1.1761242310170885,0.8470127248604891
Acacb,0.6717056548086945,0.951883602841007,1.0302415809611003,1.211320964003733
Acad10,0.472204035271782,1.340118602701422,0.7470938152175719,1.5753153200347456
Acad11,0.7178942424032545,0.8040887062795868,1.2019885300271458,0.6557963973376182
Acad12,0.8629650158878732,1.2224230862553025,1.6446883973322812,1.5760763119174188
Acad8,0.16165020896421448,0.5792309725604983,0.452559432907811,0.5852703474950169
Acad9,0.4770486355387341,0.3786043278198475,0.9885156512413609,0.6067891174609096
Acadl,0.5393738122266631,1.480956190192146,1.5794976926855866,1.3718502527642658
Acadm,0.7823103147293577,1.130396759339172,0.8291082690341098,0.798098926965827
Acads,0.34606230249978837,1.2036389512121133,1.3098286534072694,1.318213704339729
Acadsb,0.945836346121569,0.502009230775509,1.0505666132824494,0.9281416662330245
Acadvl,0.6320483427440382,1.293386846317636,1.5613844073851828,1.1705918444966674
Acap2,0.3676109185763963,0.8336558673939876,0.8940301644929952,0.5601223967429914
