gene,delta,Day0,Day2,Day4,Day10,max,labels
Serpina6,0.08963367017234994,,,,2.0162640307769886,2.0162640307769886,0001
Rhox2a,0.08963367017234994,0.5383139312395173,1.2518845041838478,,1.9861030631743426,1.9861030631743426,0001
Lim2,0.08963367017234994,,,,1.973491375837887,1.973491375837887,0001
Ifnk,0.08963367017234994,,,,1.8769415013518571,1.8769415013518571,0001
Rhox2h,0.08963367017234994,,,,1.864367190997869,1.864367190997869,0001
Cma1,0.08963367017234994,,,,1.8614378703498113,1.8614378703498113,0001
Ces4a,0.08963367017234994,,,,1.8414188661981403,1.8414188661981403,0001
Nkg7,0.08963367017234994,,,,1.829660407165254,1.829660407165254,0001
Orm1,0.08963367017234994,,,,1.8283873463551248,1.8283873463551248,0001
Odf3b,0.08963367017234994,,,,1.8082601513685623,1.8082601513685623,0001
Ceacam18,0.08963367017234994,,,,1.7973089872414652,1.7973089872414652,0001
Thbd,0.08963367017234994,,,,1.7865138012472213,1.7865138012472213,0001
Rhox2g,0.08963367017234994,,,,1.783936436634611,1.783936436634611,0001
Trpc5os,0.08963367017234994,,,,1.7617831564560051,1.7617831564560051,0001
Lmcd1,0.08963367017234994,,,,1.75407891243513,1.75407891243513,0001
Sftpd,0.08963367017234994,,,,1.7535614890069124,1.7535614890069124,0001
Spint5,0.08963367017234994,1.2421423614411555,1.115276184065144,,1.751525917638265,1.751525917638265,0001
AY761184,0.08963367017234994,,,,1.7411468775176133,1.7411468775176133,0001
Cd28,0.08963367017234994,,,,1.741028260435475,1.741028260435475,0001
Trex2,0.08963367017234994,,,,1.7409944711392749,1.7409944711392749,0001
Rgs5,0.08963367017234994,,,,1.7400951039376968,1.7400951039376968,0001
Cdh5,0.08963367017234994,,,,1.740036971342427,1.740036971342427,0001
Sh3rf2,0.08963367017234994,,,,1.730078999819061,1.730078999819061,0001
Serpina1a,0.08963367017234994,,,,1.7259486875841688,1.7259486875841688,0001
Ifi47,0.08963367017234994,,,,1.7257702367751033,1.7257702367751033,0001
Asgr1,0.08963367017234994,,,,1.7219978427046914,1.7219978427046914,0001
Prelp,0.08963367017234994,,,,1.711867459750831,1.711867459750831,0001
Calcrl,0.08963367017234994,,,1.2744229286105557,1.7086482094647641,1.7086482094647641,0001
Adamts12,0.08963367017234994,,,,1.7013704557945204,1.7013704557945204,0001
Gpr17,0.08963367017234994,,,,1.69876999795415,1.69876999795415,0001
Defa29,0.08963367017234994,,,,1.6984252408932996,1.6984252408932996,0001
Cldn22,0.08963367017234994,,,,1.687733723627661,1.687733723627661,0001
Epsti1,0.08963367017234994,,,,1.682004943342988,1.682004943342988,0001
Serpina1d,0.08963367017234994,,,,1.6789361678059458,1.6789361678059458,0001
Gna14,0.08963367017234994,,,,1.6729193825344093,1.6729193825344093,0001
Gli2,0.08963367017234994,0.6028503327707767,1.035804238529646,1.0821630076495001,1.6714647187747942,1.6714647187747942,0001
Mpeg1,0.08963367017234994,,,,1.6682422286610978,1.6682422286610978,0001
Xkr9,0.08963367017234994,,,,1.6662707922180577,1.6662707922180577,0001
Scrg1,0.08963367017234994,,,,1.6603045853531968,1.6603045853531968,0001
Ccdc65,0.08963367017234994,,,0.9904189036640476,1.6563759087531922,1.6563759087531922,0001
Htr3a,0.08963367017234994,1.2735699491540233,,,1.6539610828263172,1.6539610828263172,0001
